날짜,측정소명,측정소코드,PM10,PM2.5
2023-03-25 03,강남구,111261,102,20
2023-03-25 04,강남구,111261,94,21
2023-03-25 05,강남구,111261,83,20
2023-03-25 06,강남구,111261,70,15
2023-03-25 07,강남구,111261,59,14
2023-03-25 08,강남구,111261,54,10
2023-03-25 09,강남구,111261,54,11
2023-03-25 10,강남구,111261,56,10
2023-03-25 11,강남구,111261,78,15
2023-03-25 12,강남구,111261,101,18
2023-03-25 13,강남구,111261,115,18
2023-03-25 14,강남구,111261,118,21
2023-03-25 15,강남구,111261,115,21
2023-03-25 16,강남구,111261,107,20
2023-03-25 17,강남구,111261,109,24
2023-03-25 18,강남구,111261,106,31
2023-03-25 19,강남구,111261,112,33
2023-03-25 20,강남구,111261,110,30
2023-03-25 21,강남구,111261,113,30
2023-03-25 22,강남구,111261,118,31
2023-03-25 23,강남구,111261,124,31
2023-03-25 24,강남구,111261,116,26
2023-03-26 01,강남구,111261,118,28
2023-03-26 02,강남구,111261,106,31
2023-03-26 03,강남구,111261,101,29
2023-03-26 04,강남구,111261,93,27
2023-03-26 05,강남구,111261,85,20
2023-03-26 06,강남구,111261,72,16
2023-03-26 07,강남구,111261,72,15
2023-03-26 08,강남구,111261,63,14
2023-03-26 09,강남구,111261,63,16
2023-03-26 10,강남구,111261,61,15
2023-03-26 11,강남구,111261,62,14
2023-03-26 12,강남구,111261,51,12
2023-03-26 13,강남구,111261,40,10
2023-03-26 14,강남구,111261,42,10
2023-03-26 15,강남구,111261,40,8
2023-03-26 16,강남구,111261,36,7
2023-03-26 17,강남구,111261,37,5
2023-03-26 18,강남구,111261,34,6
2023-03-26 19,강남구,111261,36,7
2023-03-26 20,강남구,111261,32,7
2023-03-26 21,강남구,111261,30,7
2023-03-26 22,강남구,111261,29,7
2023-03-26 23,강남구,111261,30,11
2023-03-26 24,강남구,111261,36,12
2023-03-27 01,강남구,111261,42,14
2023-03-27 02,강남구,111261,40,13
2023-03-27 03,강남구,111261,39,13
2023-03-27 04,강남구,111261,36,12
2023-03-27 05,강남구,111261,37,14
2023-03-27 06,강남구,111261,35,13
2023-03-27 07,강남구,111261,36,14
2023-03-27 08,강남구,111261,40,14
2023-03-27 09,강남구,111261,44,16
2023-03-27 10,강남구,111261,43,16
2023-03-27 11,강남구,111261,47,15
2023-03-27 12,강남구,111261,43,15
2023-03-27 13,강남구,111261,45,16
2023-03-27 14,강남구,111261,46,20
2023-03-27 15,강남구,111261,63,28
2023-03-27 16,강남구,111261,50,21
2023-03-27 17,강남구,111261,54,21
2023-03-27 18,강남구,111261,49,19
2023-03-27 19,강남구,111261,50,19
2023-03-27 20,강남구,111261,50,19
2023-03-27 21,강남구,111261,53,21
2023-03-27 22,강남구,111261,45,17
2023-03-27 23,강남구,111261,45,17
2023-03-27 24,강남구,111261,47,22
2023-03-28 01,강남구,111261,54,25
2023-03-28 02,강남구,111261,48,23
2023-03-28 03,강남구,111261,47,22
2023-03-28 04,강남구,111261,45,22
2023-03-28 05,강남구,111261,51,23
2023-03-28 06,강남구,111261,49,23
2023-03-28 07,강남구,111261,51,24
2023-03-28 08,강남구,111261,51,25
2023-03-28 09,강남구,111261,58,29
2023-03-28 10,강남구,111261,63,28
2023-03-28 11,강남구,111261,68,29
2023-03-28 12,강남구,111261,64,27
2023-03-28 13,강남구,111261,63,27
2023-03-28 14,강남구,111261,54,19
2023-03-28 15,강남구,111261,61,18
2023-03-28 16,강남구,111261,74,21
2023-03-28 17,강남구,111261,94,27
2023-03-28 18,강남구,111261,83,23
2023-03-28 19,강남구,111261,77,27
2023-03-28 20,강남구,111261,74,27
2023-03-28 21,강남구,111261,77,27
2023-03-28 22,강남구,111261,73,26
2023-03-28 23,강남구,111261,75,27
2023-03-28 24,강남구,111261,73,27
2023-03-29 01,강남구,111261,84,32
2023-03-29 02,강남구,111261,79,36
2023-03-29 03,강남구,111261,86,42
2023-03-29 04,강남구,111261,97,47
2023-03-29 05,강남구,111261,93,43
2023-03-29 06,강남구,111261,81,37
2023-03-29 07,강남구,111261,76,36
2023-03-29 08,강남구,111261,76,37
2023-03-29 09,강남구,111261,84,42
2023-03-29 10,강남구,111261,92,46
2023-03-29 11,강남구,111261,105,48
2023-03-29 12,강남구,111261,105,45
2023-03-29 13,강남구,111261,99,39
2023-03-29 14,강남구,111261,88,38
2023-03-29 15,강남구,111261,83,32
2023-03-29 16,강남구,111261,80,31
2023-03-29 17,강남구,111261,65,24
2023-03-29 18,강남구,111261,43,11
2023-03-29 19,강남구,111261,50,15
2023-03-29 20,강남구,111261,67,27
2023-03-29 21,강남구,111261,61,26
2023-03-29 22,강남구,111261,53,23
2023-03-29 23,강남구,111261,68,33
